,filenames,solutions
0,5253.html,985049
1,8193.html,317838
2,5311.html,372023
3,8150.html,416322
4,2262.html,603290
5,6474.html,1052186
6,567.html,880812
7,3624.html,653123
8,6904.html,508573
9,8605.html,432772
10,8327.html,903367
11,8560.html,687641
12,5894.html,729204
13,7530.html,554864
14,218.html,361469
15,1150.html,728322
16,5994.html,505292
17,9403.html,775191
18,9970.html,606037
19,1101.html,401351
20,5547.html,68271
21,831.html,449853
22,9972.html,77573
23,1863.html,569655
24,9649.html,323160
25,7462.html,72955
26,2868.html,530346
27,8582.html,405152
28,2403.html,732995
29,1114.html,486111
30,1287.html,768398
31,47.html,967492
32,3319.html,730758
33,7286.html,773118
34,1407.html,479792
35,8695.html,59433
36,8670.html,964582
37,2159.html,991277
38,4642.html,657084
39,3787.html,42516
40,7512.html,378860
41,6698.html,828658
42,5240.html,68059
43,4548.html,700662
44,3710.html,1035586
45,5587.html,699266
46,8252.html,392271
47,1635.html,593029
48,5659.html,1051048
49,621.html,76220
50,3258.html,912251
51,4277.html,689081
52,1925.html,305571
53,6815.html,997050
54,6703.html,796309
55,6944.html,1034724
56,3648.html,447231
57,1453.html,494713
58,8437.html,459409
59,1012.html,1020781
60,554.html,771145
61,2969.html,710079
62,5166.html,1023622
63,7114.html,401807
64,7683.html,799869
65,7685.html,913746
66,370.html,341458
67,1447.html,481287
68,5199.html,541087
69,1321.html,479664
70,6981.html,1027544
71,7544.html,710484
72,3763.html,839407
73,7798.html,420356
74,7517.html,462030
75,6501.html,1004402
76,4691.html,306474
77,4260.html,530552
78,386.html,902055
79,1968.html,637960
80,8565.html,361168
81,5510.html,600177
82,8122.html,71817
83,6631.html,965058
84,9517.html,293694
85,6632.html,643668
86,9160.html,298836
87,3384.html,910750
88,7858.html,928940
89,5465.html,314850
90,2352.html,554390
91,1408.html,1050022
92,2010.html,896069
93,1630.html,413097
94,7468.html,578132
95,966.html,768002
96,6690.html,667277
97,9781.html,583455
98,5489.html,696269
99,2347.html,372838
100,3133.html,598975
101,9703.html,616204
102,7697.html,771246
103,8530.html,853334
104,1711.html,750640
105,5832.html,908900
106,6331.html,554223
107,763.html,1049565
108,1737.html,372083
109,1335.html,647222
110,9177.html,440892
111,1269.html,419054
112,8379.html,599283
113,1067.html,404054
114,8561.html,1037884
115,5732.html,470584
116,2232.html,691552
117,5303.html,897418
118,3994.html,693553
119,4482.html,531872
120,7250.html,458580
121,4067.html,687278
122,9835.html,792683
123,6702.html,771894
124,5134.html,1454
125,507.html,356353
126,3039.html,970036
127,2146.html,659989
128,2694.html,616741
129,6706.html,857743
130,4152.html,980884
131,6903.html,986411
132,2643.html,681050
133,64.html,632598
134,7976.html,510496
135,7903.html,492440
136,9641.html,818850
137,3193.html,829299
138,948.html,45854
139,8055.html,957489
140,4563.html,694675
141,7412.html,856463
142,620.html,468149
143,2893.html,311859
144,8050.html,1008492
145,6786.html,736465
146,4533.html,524686
147,9076.html,985709
148,9866.html,854541
149,9752.html,368397
150,795.html,1035901
151,9733.html,382086
152,9193.html,325697
153,7985.html,823373
154,3032.html,847284
155,2949.html,1010742
156,9123.html,674511
157,5509.html,623087
158,9586.html,969733
159,6231.html,739886
160,9481.html,332625
161,2433.html,619460
162,1014.html,621645
163,2139.html,459257
164,2400.html,367873
165,4432.html,24446
166,6936.html,632676
167,5531.html,717123
168,8979.html,473159
169,7850.html,643919
170,4261.html,12190
171,6109.html,589251
172,4889.html,864917
173,9706.html,492595
174,4856.html,534051
175,7994.html,573012
176,4318.html,802676
177,4937.html,850528
178,5346.html,934139
179,2618.html,316895
180,8773.html,737597
181,2034.html,581184
182,3785.html,927350
183,424.html,584681
184,5537.html,423285
185,4033.html,631637
186,4004.html,646741
187,1229.html,430508
188,690.html,685746
189,7791.html,69120
190,2804.html,322839
191,6548.html,713156
192,4619.html,357969
193,5316.html,624851
194,1489.html,795594
195,133.html,880848
196,3186.html,553470
197,9675.html,573424
198,2243.html,447555
199,2369.html,428762
200,8832.html,461238
201,7349.html,1030015
202,5583.html,695853
