filename,label
1.html,福建省$厦门市$集美区$侨英街道$侨英路$685号$118.113069$24.601969
2.html,黑龙江省$大庆市$让胡路区$西宾街道$江苏路$140号$124.8996645$46.61741125
3.html,广东省$广州市$海珠区$凤阳街道$迎祥大街$1号$113.29385275$23.08477687
4.html,河北省$保定市$蠡县$蠡吾镇$蠡吾南大街$25号$115.5849646$38.4977358
5.html,广东省$广州市$增城区$新塘镇$广深大道中$136号$113.6109585$23.121891
6.html,湖北省$武汉市$江岸区$大智街街道$铭新街$46号$114.29178$30.587183
7.html,福建省$泉州市$丰泽区$北峰街道$丰惠路$147号$118.577455$24.932541
8.html,广东省$广州市$花都区$新华街道$华南路$6-1号$113.2076938$23.3692014
9.html,福建省$福州市$台江区$鳌峰街道$鳌峰路$218号$119.36099062$26.05163437
10.html,河北省$廊坊市$霸州市$霸州镇$迎宾东道$294号$116.3992535$39.125037
11.html,福建省$福州市$仓山区$城门镇$永南路$105号$119.3914546$25.9969816
12.html,广东省$广州市$南沙区$南沙街道$珠江西路$53号$113.573557$22.744614
13.html,广东省$广州市$天河区$凤凰街道$高普路$94号$113.411217$23.178534
14.html,湖北省$荆门市$钟祥市$旧口镇$四化路$168号$112.672151$30.861545
15.html,甘肃省$酒泉市$肃州区$东南街街道$龙腾路$10号$98.52617488$39.73649983
16.html,安徽省$黄山市$歙县$徽城镇$新安路$34号$118.42474266$29.8680315
17.html,福建省$福州市$平潭县$岚城乡$福胜东路$132号$119.78622242$25.50245135
18.html,福建省$福州市$台江区$瀛洲街道$老药洲街$45号$119.317187$26.056239
19.html,安徽省$合肥市$瑶海区$大通路街道$东一环路$164号$117.313855$31.861328
20.html,广东省$广州市$天河区$石牌街道$天河东路$822号$113.338884$23.138371
21.html,安徽省$黄山市$徽州区$徽州街道$永佳大道$185号6栋$118.350849$29.82736428
22.html,湖北省$武汉市$江汉区$万松街街道$青年路$645号$114.260868$30.592825
23.html,海南省$海口市$秀英区$海秀镇$白水塘路$36号$110.29928983$19.98394158
24.html,安徽省$合肥市$蜀山区$莲花社区$莲花路$1239号$117.23151$31.758841
25.html,河北省$保定市$易县$易州镇$易兴东路$207号$115.505051$39.354379
26.html,湖北省$襄阳市$樊城区$王寨街道$春园西路$1号$112.133529$32.053428
27.html,广西壮族自治区$南宁市$西乡塘区$北湖街道$衡阳东路$3号$108.31567$22.83586
28.html,福建省$厦门市$思明区$中华街道$思明东路$23号$118.08121$24.456349
29.html,河北省$保定市$容城县$容城镇$正义路$19号$115.86869425$39.0550185
30.html,湖北省$武汉市$洪山区$洪山街道$岭南路$186号$114.333135$30.5122556
31.html,河北省$廊坊市$霸州市$信安镇$振国道$267号$116.646627$39.139122
32.html,湖北省$武汉市$江岸区$台北街街道$台北路$148号$114.28032975$30.5972605
33.html,广东省$广州市$增城区$永宁街道$荔园大道$18号$113.59415933$23.175696
34.html,湖北省$武汉市$江岸区$大智街街道$保华街$11号$114.2925095$30.5834315
35.html,湖北省$武汉市$江岸区$四唯街街道$中山大道$1418号$114.3055255$30.600579
36.html,湖北省$武汉市$江汉区$唐家墩街街道$马场路$200号$114.26803661$30.61189054
37.html,河南省$郑州市$巩义市$紫荆路街道$陇海路$106号$113.0280538$34.74200431
38.html,河北省$保定市$博野县$博野镇$博明中路$160号$115.465589$38.459856
39.html,湖北省$武汉市$江夏区$佛祖岭街道$光谷二路$15号$114.463891$30.431428
40.html,广东省$广州市$越秀区$登峰街道$麓景路$128号$113.27976108$23.14527825
41.html,湖北省$襄阳市$樊城区$高新区团山镇$团山大道$41号$112.1369712$32.09886
42.html,广东省$广州市$从化区$江埔街道$从樟一路$200号$113.623019$23.527355
43.html,广东省$广州市$海珠区$素社街道$东晓路$190号$113.283206$23.099641
44.html,安徽省$阜阳市$颍上县$慎城镇$解放路$242号$116.26202431$32.6424885
45.html,福建省$厦门市$思明区$莲前街道$莲前东路$859号$118.150364$24.478436
46.html,福建省$泉州市$石狮市$湖滨街道$长福路$231号$118.651724$24.735602
47.html,湖北省$武汉市$新洲区$邾城街道$文昌大道$171号$114.812482$30.83704
48.html,福建省$福州市$仓山区$金山街道$建新中路$126号$119.257784$26.040396
49.html,广东省$广州市$海珠区$新港街道$鹭江西街$142号$113.30707116$23.09198983
50.html,湖南省$常德市$石门县$楚江镇$楚江路$9号$111.37564095$29.58099289
51.html,广东省$广州市$南沙区$东涌镇$东兴二路$101号$113.45863$22.884951
52.html,广西壮族自治区$百色市$平果县$马头镇$铝城大道$409号$107.549172$23.331309
53.html,湖北省$武汉市$黄陂区$前川街道$落驾一里$91号$114.380797$30.8773035
54.html,广东省$广州市$白云区$石井街道$向西大道$5号$113.251916$23.2309506
55.html,安徽省$阜阳市$太和县$城关镇$细阳南路$158号$115.62925166$33.150285
56.html,广东省$广州市$海珠区$华洲街道$小洲东路$229号$113.36047966$23.06125016
