,app,normalflow_mean,fraudflow_mean,normalflow_var,fraudflow_var
0,DNS,64.99626009945628,33.40137569912997,8914.296210074179,6057.02632628311
1,网页浏览,1119.6668760736472,757.4545107813807,9898969.205957046,3711294.688170875
2,微信,5885.445073522014,4212.782953702695,109100203.85654564,98489422.03871202
3,腾讯网,899.6060701245265,530.6254451602641,4791123.117498059,2754600.330880604
4,QQ,835.5539008218284,805.3991028444391,11571067.68815067,12105326.527198035
5,HTTPS,1542.9976531102752,1107.5283709035061,15228016.693019496,7494736.098004855
6,高德导航,97.65419806560675,59.05954652244923,62180.77137101768,18063.152023240276
7,手机百度,1076.0799108249498,659.6703219789916,16720862.946452837,32376729.60218056
8,淘宝,563.1222411718736,301.2339502815747,4162549.7647085222,1906231.46466254
9,百度地图,40.940073032762,27.316339113179918,12562.815044883402,6035.727929240237
10,NTP,0.7127168191645582,1.104811003562987,12.34711080828404,25.75588150066185
11,腾讯新闻,120.57947038875534,78.7004224165763,93380.07541673793,58192.957711465046
12,SSL,48.121566393869756,47.48105976184209,58631.86169723691,53064.294306921925
13,腾讯视频,2519.7822857484734,3094.1032674327043,76823927.94797604,118175267.8767678
14,QQ浏览器,29.163340790239573,34.704281815299154,7504.779165891321,15059.02188606554
15,友盟+,47.17146764955887,29.106659457705906,96591.92695942053,8932.530395490403
16,今日头条,1789.053437690339,1220.2294292713034,59425030.48107538,43730977.51898225
17,腾讯地图,44.5955623588306,44.28667474032475,10682.24748355527,6074.045474264229
18,网易网,181.23068044299933,143.99571565214376,329853.0380734989,133260.02042998077
19,中国移动账户管理中心和通行证门户,1.9349007120536876,1.5440334812712275,15.582071280593418,10.94207327483349
20,阿里云,111.68243408874501,202.83520340630503,64262.279254228204,1377015.2203353068
21,阿里巴巴服务,36.53658645522427,30.96379577654352,27859.326749125732,14416.409356434291
22,支付宝,171.2916171747034,206.1596984365484,153716.22278804847,210829.66447088312
23,拍鞋网,186.55795361739953,296.9718487516363,641707.1124243044,1203996.2113162365
24,STUN,28.030929910319216,33.69045693892285,263911.88458423817,37164.95902208466
25,谷歌应用,100.89566717501292,132.8379859487889,125288.376922683,291431.70348368865
26,腾讯软件中心,349.63035742866714,504.97271903879914,1237995.5241361444,6102448.164041428
27,百度搜索,48.359294988497226,49.0536868974338,15551.157238193693,15213.926375130359
28,旺信,71.33702055926724,69.61263919276232,69570.42035539704,22529.267369916783
29,MmStat,4.955445694107193,5.7941410445498915,183.6638040518683,170.18026719047873
30,YouTube视频,41.14791571632177,37.466102936136444,46715.69581552916,9760.257592073516
31,UC浏览器,181.36050114762438,91.38260414936398,1265526.5678935964,96766.37098396846
32,qq空间,140.53753624853235,169.8311379045472,442853.90553718637,261978.3127467574
33,应用宝,148.05322302753316,154.37651351956657,118175.34790225318,162568.8148788074
34,WeiXin_Pay_Action,2.340339044336512,3.239705052323007,20.62401814260282,34.05289004078184
35,小米服务,36.87987841692169,17.343416200055703,53562.09013848303,10097.340637483812
36,拼多多,326.44611914760225,165.96442764663695,1287865.1879500577,244466.59593142982
37,京东,151.71055285557992,134.58625674917994,234386.27041752543,129096.76001169543
38,搜狗搜索,37.346158305740964,40.663572130447776,25036.882241057203,30015.273228006503
39,抖音,15975.132944752357,16147.786329857778,978611841.1068872,1191443366.0221603
40,Qchannel,4.485214291264324,4.4367442622439555,116.76308417969392,96.37334965684902
41,钞针系统,0.47897074389329425,0.39721457422996054,0.9079542596086928,0.43422059347020203
42,HTTP2,23.467451943044843,15.193962271915309,6522.568216213975,1508.529846296974
43,彩信,7.86256093483698,2.2466049992979453,352.55592730127296,35.51277699861367
44,Behavior,53.55990827488239,32.5943122782132,714906.249687178,13298.788057373595
45,Crashlytics网络协议,3.872235916390404,5.473777769183025,90.49186977426045,167.86876065854764
46,RTP,28.373797970165455,45.01859396509826,4907.255649041695,22270.55485868395
